Godwin	Fay
Gogo	Basil
Golan	Emek
Goldberger	Sacha
Goldblatt	David
Goldin	Nan
Goldsworthy	Andy
Goltzius	Hendrick
Goncharova	Natalia
Gonsalves	Rob
Gonzalez	Josan
Goodall	Frederick
Goodwin	Albert
Goossens	Ben
Gordiets	Evgeni
Gordin	Misha
Gores	Derek
Gorey	Edward
Gorky	Arshile
Gorny	Hein
Goya	Francisco
Graafland	Scarlett Hooft
Graber	Carrie
Grandville	J. J.
Grasset	Eugène
Grasso	Laurent
Graverol	Jane
Graves	Abbott Fuller
Graves	Mab
Greasley	Laurie
Greenaway	Kate
Gregoire	Kenne
Grelle	Martin
Grey	Alex
Gric	Peter
Griffiths	Carne
Grigoriev	Boris
Grimm	Brothers
Grimshaw	John Atkinson
Grimwood	Tracie
Grindat	Henriette
Gris	Juan
Groening	Matt
Gropius	Walter
Gropper	William
Grosz	George
Grünewald	Matthias
Guay	Rebecca
Guibert	Hervé
Guichard-Bunel	Jeannette
Guidice	Rick
Guillaumin	Armand
Gupta	Subodh
Gurney	James
Guston	Philip
Guthrie	Sir James
Guttuso	Renato
Gwathmey	Charles
Haas	Ernst
Hacker	Arthur
Hadid	Zaha
Haeckel	Ernst
Hagan	Robert
Hall	Sydney Prior
Hals	Frans
Halsman	Philippe
Hamaguchi	Mao
Hambling	Maggi
Hamilton	Richard
Hammershoi	Vilhelm
Hammick	Tom
Hammons	David
Hang	Ren
Hanks	Steve
Hanson	Erin
Hanuka	Asaf
Hanuka	Tomer
Hardy	Bert
Hardy	David A.
Hardy	Heywood
Haring	Keith
Harper	Charley
Harris	John
Harris	Lawren
Harrison	Florence
Harrison	L. Birge
Hartley	Marsden
Hartung	Hans
Harvey	Harold
Hase	Ryohei
Haseltine	William Stanley
Hashimoto	Jacob
Hassam	Childe
Hatke	Ben
Hatoum	Mona
Hattori	Naoto
Hawkes	Pam
Hawkesworth	Jamie
Haygarth	Stuart
Hayter	Stanley William
Heade	Martin Johnson
Heathcote	Peregrine
Heatherwick	Thomas
Heckel	Erich
Heda	Willem Claesz.
Hedley	Paul
Hegarty	Valerie
Heilmann	Mary
Heizer	Michael
Hejduk	John
Helnwein	Gottfried
Henderson	Steve
Hendricks	Barkley L.
Henle	Fritz
Henry	Paul
Henson	Bill
Hepworth	Barbara
Heron	Patrick
Herrera	Carolina
Herriman	George
Heward	Prudence
Hewett	Ryan
Hewlett	Jamie
Hewton	Randolph Stanley
Heysen	Nora
